Periode,Jumlah
Jan-15,6
Feb-15,68
Mar-15,18
Apr-15,74
May-15,10
Jun-15,182
Jul-15,40
Aug-15,48
Sep-15,60
Oct-15,226
Nov-15,144
Dec-15,158
Jan-16,224
Feb-16,154
Mar-16,76
Apr-16,334
May-16,150
Jun-16,457
Jul-16,46
Aug-16,460
Sep-16,170
Oct-16,164
Nov-16,90
Dec-16,202
Jan-17,98
Feb-17,92
Mar-17,62
Apr-17,168
May-17,14
Jun-17,84
Jul-17,62
Aug-17,213
Sep-17,58
Oct-17,203
Nov-17,286
Dec-17,135
Jan-18,272
Feb-18,80
Mar-18,90
Apr-18,173
May-18,94
Jun-18,37
Jul-18,74
Aug-18,78
Sep-18,76
Oct-18,232
Nov-18,156
Dec-18,144
Jan-19,180
Feb-19,268
Mar-19,126
Apr-19,196
May-19,168
Jun-19,114
Jul-19,292
Aug-19,467
Sep-19,353
Oct-19,672
Nov-19,758
Dec-19,414
Jan-20,396
Feb-20,420
Mar-20,545
Apr-20,598
May-20,368
Jun-20,270
Jul-20,658
Aug-20,881
Sep-20,1404
Oct-20,1110
Nov-20,2016
Dec-20,1381
Jan-21,1022
Feb-21,561
Mar-21,782
Apr-21,821
May-21,456
Jun-21,580
Jul-21,484
Aug-21,492
Sep-21,491
Oct-21,498
Nov-21,514
Dec-21,686
Jan-22,706
Feb-22,552
Mar-22,434
Apr-22,164
May-22,228
Jun-22,450
Jul-22,721
Aug-22,985
Sep-22,826
Oct-22,932
Nov-22,1260
Dec-22,1819
Jan-23,403
Feb-23,1030
Mar-23,1431
Apr-23,682
May-23,332
Jun-23,777
Jul-23,2632
Aug-23,2066
Sep-23,1779
Oct-23,1110
Nov-23,5040
Dec-23,4328
Jan-24,1430
Feb-24,1236
Mar-24,6040
Apr-24,4953
May-24,3121
Jun-24,8571
Jul-24,3904
Aug-24,12013
Sep-24,5248
Oct-24,3673
